ORConf 2019 Schedule,,,,,,,,
,,,,,,,,
Duration,Start,End,Presenter,Affiliation,Title,Category,Abstract,Confirmed
0:03:00,2019-09-28 15:22,2019-09-28 15:25,"Ekaterina Berezina, Ivan Piatak",Syntacore,Open Source SCR1 core,sat,"          <p>
            <a href=""https://github.com/syntacore/scr1"" target=""_blank"">SCR1</a> is an open-source
            MCU-class RISC-V core for deeply embedded applications and
            accelerator control, developed and maintained by Syntacore. Over the three years of its
            existence, the processor has found significant traction both in industry and in academia
            around the world.
          </p>
          <p>
            in our brief presentation, we will talk about the SCR1 key features and the latest updates, as well
            as invite you to our demo, where we show the use of SCR1 both for educational purposes
            and for commercial projects.
          </p>
          <h6>Presenters: <a href=""https://www.linkedin.com/in/kate-berezina/"" target=""_blank"">Ekaterina Berezina</a>,
            <a href=""https://www.linkedin.com/in/ivan-piatak-64351b123/"" target=""_blank"">Ivan Piatak</a></h6>
              <p>
                Ekaterina Berezina is a Senior HW Engineer at Syntacore, where she contributes to
                the SCRx core family development and maintenance. Ekaterina has more than 6 years of
                experience in CPU IP development including architecture and microarchitecture
                definition, RTL design, testing and verification, area/timing/power optimization for
                ASIC and FPGA. She received her Master’s degree in Computer Science at
                Saint-Petersburg ITMO University and teaches Computer Architecture classes there.
              </p>
              <p>
                Ivan Piatak is an ASIC design engineer at Syntacore. He received his MS and PhD
                degrees from the Peter the Great St.Petersburg Polytechnic University where he also
                currently serves in the research assistant position at the Higher school of applied
                physics and space technologies. His research interests are in the low power data
                acquisition methods with a specific focus on the digitally-assisted pipelined ADCs
                design. At Syntacore, he is responsible for the ASIC digital backend and layout in
                the customer projects, and also contributes to FPGA prototyping.""
              </p>
",
0:03:00,2019-09-28 15:25,2019-09-28 15:28,David Hossack,,RISC-V without a Register File,sat,"<p>The RISC-V ISA specifies a register file of 31 registers of 32 bits each. <a href=""https://github.com/arghhhh/minrv32"" target=""_blank"">This project</a> aims to eliminate this requirement by memory mapping the register file into the same memory as used for program and data. The resulting architectural state consists of only the program counter, with instructions that read arguments and write results to memory over multiple cycles. This is reminiscent of old processors such as the 6502. As an optimization, the internal state can be considered as a register-file cache, leading to some interesting design considerations.
</p>

<h4>Presenter: David Hossack</h4>
<p>
David Hossack is a design engineer at Analog Devices in Boston MA, USA. This project occupies some of his limited spare time.
</p>",
0:03:00,2019-09-28 15:28,2019-09-28 15:31,Christiaan Baaij,QBayLogic,Visions of the future,sat,"<p>

  Functional languages and beyond for circuit design and
  alternative architectures.

</p>
<h6>Presenter: Christiaan Baaij</h6>",
00:29:00,2019-09-28 15:31,2019-09-28 16:00,,,Break,sat,,
0:20:00,2019-09-28 16:00,2019-09-28 16:20,Aliaksei Chapyzhenka,SiFive,Reusing HW components with DUH flow,sat,"DUH is an opensource data format designed to capture information about reusable HW components. It provides a standard way of capturing: ports, bus interfaces, memory maps, registers, generator parameters, clocks, resets, etc. DUH format supported with a variety of tools.

Import tools help to import available information from Verilog, IPXACT, SystemRDL sources. Inference tools do the guesswork finding standard bus interfaces. DUH document can be opened and inspected in the web browser. DUH document has a standard JSON schema and can be validated. DUH export tools provide Verilog, IPXACT, Chisel-Scala output. The goal of DUH project is to make HW IP more reusable and enable more SoC automation tools.

Presenter: Aliaksei Chapyzhenka

Aliaksei Chapyzhenka is an engineer at SiFive Inc., author of the WaveDrom project and OSS contributor since 2011. ",
0:20:00,2019-09-28 16:20,2019-09-28 16:40,Jack Koenig,SiFive,Onboarding Verilog Peripherals to Rocket Chip,sat,"Rocket Chip is an open-source RISC-V processor-complex generator that comprises the Rocket microarchitecture and TileLink interconnect generators. It has been used in over 20 tape outs by UC Berkeley alone, and is an important piece of the SiFive FE310 (HiFive 1) embedded SoC as well as the Linux-capable FU540 SoC (HiFive Unleashed). A common question in the open-source community is “How do I integrate Rocket Chip into my SoC”. This talk is an introduction to the use of Rocket Chip and how one might onboard a Verilog IP into a Rocket Chip SoC.
Presenter: Jack Koenig

Jack Koenig is a Staff Engineer at SiFive. He maintains the Chisel and FIRRTL projects in addition to working on tooling for parameterized generators like Rocket Chip. ",
0:10:00,2019-09-28 16:40,2019-09-28 16:50,,,Break,sat,,
0:20:00,2019-09-28 16:50,2019-09-28 17:10,Ákos Hadnagy,1st CLaaS,Unleashing the Potential of Cloud FPGAs,sat,"Having FPGAs available in the data center presents enormous potential for new and exciting compute models. But, for this emerging ecosystem to thrive, we need infrastructure to develop custom hardware accelerators for these platforms and integrate them with web applications and cloud infrastructure. The 1st CLaaS (Custom Logic as a Service) Framework brings cloud FPGAs within reach of the open-source community, startups, and everyone.

1st CLaaS provides an end-to-end solution for streaming data to and from custom logic using WebSockets. It provides infrastructure for development, provisioning, and deployment of custom FPGA logic as a microservice, significantly reducing the development overhead of integrating cloud FPGAs for acceleration of web and cloud applications.

This talk will introduce the framework and some of its recent improvements as well as the impact it could have on open-source silicon.

Presenter: Ákos Hadnagy

Ákos Hadnagy is master’s student at TU Delft. He became involved in the project through Google Summer of Code, returning for the second year after contributing to WARP-V last summer.

His interests include heterogenous and reconfigurable computing and FPGA and hardware development.
",
0:20:00,2019-09-28 17:10,2019-09-28 17:30,David Shah,nextpnr (Griffith Research),Taking nextpnr to the next level!,sat,"nextpnr, a next-generation multi-architecture FPGA place-and-route tool was presented at ORConf 2018 with both iCE40 and highly experimental ECP5 support. Over the past year, we have taken the ECP5 support from proof-of-concept to production-ready, and opened up the possibility to use nextpnr to build large and complex designs. This has included augmenting the existing simulated annealing placer with a significantly faster analytical placer (HeAP), adding multi-threaded timing analysis, and adding support for the nitty-gritty hardware details needed for high-speed IO interfaces.

The end result is the capability to build large designs quickly, such as Linux-capable VexRiscv and Rocket processors with DDR3 memory and Gigabit Ethernet. A live demo of this collaborative open gateware and toolchain project will be given.

This talk will introduce some of the improvements made to nextpnr, as well as a roadmap to improved support for even bigger and better FPGAs in the future – and how you can get involved!

Presenter: David Shah
David is the owner of Griffith Research Ltd and a developer of open source FPGA toolchains including nextpnr and Yosys. He documented the bitstream of the Lattice ECP5 FPGAs in Project Trellis and used this to build an end-to-end open-source flow for these parts using Yosys and nextpnr.
",
0:20:00,2019-09-28 17:30,2019-09-28 17:50,,,Go to dinner,sat,,
0:20:00,2019-09-28 17:50,2019-09-28 18:10,,,Dinner @ Alriq,sat,,
Sunday Sept 29,,,,,,,,
0:30:00,2019-09-29 09:00,2019-09-29 09:30,,,"Room open, coffee",sun,,
0:20:00,2019-09-29 09:30,2019-09-29 09:50,Guillem Cabo,Barcelona Supercomputer Center - Centro Nacional de Supercomputación (BSC-CNS), Open Source computer architecture research at the Barcelona Supercomputer Center,sun,"Barcelona Supercomputer Center - Centro Nacional de Supercomputación (BSC-CNS) is the leading supercomputing center in Spain. It houses MareNostrum, one of the most powerful supercomputers in Europe, and is a hosting member of the PRACE European distributed supercomputing infrastructure. The mission of BSC is to research, develop, and manage information technologies to facilitate scientific progress. We have a long history of developing software stacks for HPC. Over the years, We have released many open source tools for instrumentation, visualization, and analysis of software and architectures, but RTL design has been a research area quite limited until now. The growth of an Open Digital design ecosystem has enabled BSC to explore computer architecture at a deeper level, closing the gap between academia and industry.

Last May BSC, along Universitat Politècnica de Barcelona (UPC), Centro Nacional de Microelectrònica (CNM) and Centro de Investigación en Computación del Instituto Politécnico Nacional de México (CIC) summited for manufacturing the preDRAC processor, our first RISC-V ASIC design. In this presentation, We will talk about the compromise of BSC with RISC-V, show an overview of preDRAC, and describe the role of Open Source IP and tools in the project.

Presenter: Guillem Cabo

Guillem Cabo is a research engineer at BSC-CNS. He was involved in the tape out of preDRAC. He is currently working on RTL design, mainly designing and integrating control mechanisms for real-time multi-core processors in several H2020 projects, at the CAOS group.
",yes
0:20:00,2019-09-29 09:50,2019-09-29 10:10,Jose E. Marchesi,GNU Project,"GNU poke, an extensible editor for structured binary data",sun,"GNU poke is a new interactive editor for binary data. Not limited to editing basic entities such as bits and bytes, it provides a full-fledged procedural, interactive programming language designed to describe data structures and to operate on them.

GNU poke is useful in many domains. It is very well suited to aid in the development of programs that operate on binary files, such as assemblers and linkers. It is also good for the fast development of prototypes for programs like linkers, compressors or filters, and it provides a convenient foundation to write other utilities such as diff and patch tools for binary files. I reckon GNU poke could be useful for people working on the software stack for open source hardware systems.

First I will introduce the program and show what it does: from simple bits/bytes editing to user-defined structures and then, very very quickly due to time limitations, will cover how to describe user data, which is to say the art of writing ""pickles"".

Presenter: Jose E. Marchesi
Jose E. Marchesi is a GNU hacker and maintainer. Currently making a life as the teach lead of the Oracle Toolchain Team. ",
0:10:00,2019-09-29 10:10,2019-09-29 10:20,,,Break,sun,,
0:20:00,2019-09-29 10:20,2019-09-29 10:40,Alan J. Wood,Netmean Limited,BlackEdge Based FPGA-OSH,sun,"BlackEdge is the new myStorm proposed FPGA OpenSource Hardware roadmap for embedded heterogenous development systems, we take a look at the standard and a peek under the open hardware kimono to see what's coming down the road project wise.

Presenter: Alan J Wood

Alan Wood (@folkonlogy) is a hardware and software engineer, specialising in heterogeneous embedded systems, machine vision/learning and dev systems 
",
0:20:00,2019-09-29 10:40,2019-09-29 11:00,Todd Strader,Hudson River Trading,DPI protected Verilog instead of encryption,sun,"Encrypted Verilog is unusable to open source tools like Verilator. Beyond that, the Verilog encryption scheme is basically worthless. See https://acmccs.github.io/papers/p1533-chhotarayA.pdf for futher details. Or if you prefer more practical evidence, spend a little while researching actual attacks on encrypted RTL.

This project is a proof of concept for a utility which would use Verilator to compile a protected Verilog module into a DPI-accessible shared object. While the compiled object could be analyzed, this approach provides little to no opportunity for the plaintext Verilog to be exposed.

Presenter: Todd Strader
Todd Strader is an engineer at Hudson River Trading and is involved with the Verilator project ",
0:30:00,2019-09-29 11:00,2019-09-29 11:30,,,Break,sun,,
0:20:00,2019-09-29 11:30,2019-09-29 11:50,Dan Gisselquist,"Gisselquist Technology, LLC",Formally Verifying AXI Interfaces,sun,"Gisselquist Technology, LLC, has recently developed a set of formal properties for verifying both AXI and AXI-lite interactions. The properties were then applied to many open source projects. In this talk, Dr. Gisselquist will discuss both how the property set works and some of the bugs he has found using it.

Presenter: Dan Gisselquist
Dr. Gisselquist is the owner of Gisselquist Technology, LLC, a services based microbusiness focused on providing superior computer engineering and signal processing services to our customers. Dr. Gisselquist has an M.D. in Computer Engineering and a Ph.D. in Electrical Engineering both from the U.S. Air Force Institute of Technology. His most recent work has involved formally verifying bus components using SymbiYosys. ",
0:20:00,2019-09-29 11:50,2019-09-29 12:10,Benjamin Barrois,Hiventive,"One simulator to rule them all, and on a distributed infrastructure run them",sun,"The rise of open hardware pushed by open architectures such as RISC-V must be accompanied by open tool suites making it accessible to the largest number. Today, two distinct profiles are required to produce an electronic device: hardware designers and software developers. Hardware designers often work on close-source, expensive tool suites with only a small degree of freedom, to produce a suitable hardware prototype. Once low-level software produced (kernel, drivers...) from the hardware specification, software developers then use the prototype as a support for their developments and testing, with other tools. This long, sequential process could be dramatically shortened by using a unique collaborative tool, centered around a software representation of the hardware: a virtual platform.

In this talk, we will present Hiventive's multi-simulator virtual platform engine running a RISC-V virtual platform embedding a Linux distribution. Compare to existing solutions, Hiventive's multi-simulator doesn't focus on only one simulator, but instead take advantage of existing great simulators like QEMU, GEM5, and more.

Presenter: Benjamin Barrois
Benjamin Barrois is the CTO and one of the co-founders of Hiventive, a young startup aiming to revolutionize the way electronics products are designed. He joined the adventure after getting a PhD about low-power computer arithmetics.
",
1:00:00,2019-09-29 12:10,2019-09-29 13:10,,,Lunch,sun,,
0:20:00,2019-09-29 13:10,2019-09-29 13:30,Frank K. Gürkaynak,ETH Zürich,What has PULP team been working on lately,sun,"The PULP project has been actively working on new ideas over the summer. In this talk I will briefly introduce the latest projects and chips the group has worked on. PULP project is committed to release all proven hardware with a permissive open source license (Solderpad) and we hope that ideas that we developed in the latest chips will also prove themselves useful and can become part of our releases.

Presenter: Frank K. Gürkaynak
Frank has been involved in the PULP project since the beginning in 2013. His background is in digital IC design but these days he is only allowed to talk about the projects, leaving the real work to younger (and more capable) colleagues ",
0:20:00,2019-09-29 13:30,2019-09-29 13:50,Jörg Mische,RudolV,RudolV: from the RISC-V SoftCPU contest to a timing predictable core,sun,"RudolV is yet another 5-stage in-order RISC-V core. In contrast to other implementations it focuses on timing predictability by avoiding speculative components like out-of-order execution, dynamic branch prediction or caches. Without affecting the predictability, techniques like instruction fusion, in-order dual issue and decoupled fetching can improve its throughput.

Presenter: Jörg Mische
Jörg Mische is a researcher on real-time capable manycore systems and networks-on-chip. He presented the Reduced Complexity ManyCore (RC/MC) and its predictable PaterNoster NoC at earlier ORCONFs. After leaving university, he is now a freelancer in the area of real-time FPGA systems. ",
0:20:00,2019-09-29 13:50,2019-09-29 14:10,Staf Verhaegen,Chips4Makers,On a quest for the ideal HDL(s) for makers and hobbyists,sun,"With a software background I stumbled in the hardware 'programming' languages beginning of this decade. Since the beginning I had a love/hate relationship with the common RTL languages at best. In the beginning I thought it was just the normal rookie feeling and some persistence would solve it. After almost a decade I am convinced some fundamental shortcomings in the common RTL languages are holding back hardware development productivity and the usability by non-experts like makers.

There is hope though, as I will also highlight some recent developments which in my opinion are a big step in the right direction.
Presenter: Staf Verhaegen",
,,,,,,,,
,,,,,,,,yes
,,,,,,,,
,,,,,,,,yes
,,,,,,,,yes
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,yes
,,,,,,,,yes
,,,,,,,,yes
,,,,,,,,yes
